1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.110260	0.000000	9.963460	0.012812	1107.4
1	-0.119709	0.000000	9.963460	0.018479	5.8
2	-0.100059	0.000000	9.963460	0.008781	7.2
3	-0.112333	0.000000	9.963460	0.005970	5.8
4	-0.110562	0.000000	9.963460	0.008849	6.2
5	-0.134837	0.000000	9.963460	0.012682	7.1
6	-0.136826	0.554333	9.707221	0.012252	6.1
7	-0.134214	0.005731	9.960742	0.017603	6.7
8	-0.115657	0.000000	9.963460	0.017557	24.6
9	-0.138468	0.000000	9.963460	0.019728	14.0
10	-0.127804	0.000000	9.963460	0.013896	14.6
11	-0.117251	0.000000	9.963460	0.016456	11.5
12	-0.132625	0.966906	9.524904	0.008782	10.9
13	-0.118751	0.184232	9.876811	0.013199	7.0
14	-0.128152	1.155490	9.443829	0.010968	5.8
15	-0.133081	1.371381	9.352693	0.021375	7.2
16	-0.123811	0.588937	9.691661	0.010776	6.3
17	-0.128316	1.584114	9.264595	0.015453	6.3
18	-0.119785	1.167250	9.438819	0.009514	13.4
19	-0.128058	0.384620	9.784259	0.011724	8.3
20	-0.129015	0.000000	9.963460	0.018326	13.9
21	-0.114832	0.000000	9.963460	0.013085	8.5
22	-0.140057	0.000000	9.963460	0.019126	8.5
23	-0.130861	0.000000	9.963460	0.013256	11.9
24	-0.128537	0.000000	9.963460	0.006396	13.0
25	-0.122664	0.351290	9.799532	0.006092	13.0
26	-0.129096	0.866565	9.568612	0.011487	10.1
27	-0.130371	0.794843	9.600100	0.015429	6.7
28	-0.119649	0.184373	9.876745	0.013796	10.1
29	-0.130792	1.184322	9.431555	0.014586	8.6
30	-0.125762	0.401642	9.776477	0.015223	9.6
31	-0.123691	0.000000	9.963460	0.013536	9.3
32	-0.125260	0.000000	9.963460	0.015551	10.0
33	-0.130175	0.997422	9.511690	0.006168	8.7
34	-0.125944	1.985599	9.102772	0.014861	6.7
35	-0.124455	2.984268	8.723746	0.014727	7.4
36	-0.128163	2.201874	9.017921	0.010786	4.9
37	-0.133256	1.420321	9.332278	0.018696	4.1
38	-0.140422	0.637757	9.669795	0.013252	3.8
39	-0.117986	1.637757	9.242641	0.009881	5.6
40	-0.120138	0.921566	9.544604	0.005208	4.3
41	-0.121314	0.202478	9.868312	0.015584	5.9
42	-0.121062	0.000000	9.963460	0.014281	9.9
43	-0.135312	1.000000	9.510576	0.006759	5.9
44	-0.127033	0.302475	9.821989	0.018970	5.7
45	-0.119149	0.000000	9.963460	0.009467	3.5
46	-0.119552	0.000000	9.963460	0.021799	3.8
47	-0.139317	0.811155	9.592920	0.012391	3.9
48	-0.129663	1.811155	9.172384	0.018718	4.9
49	-0.142781	2.811154	8.787170	0.015604	6.3
50	-0.138988	3.802929	8.435805	0.016578	6.7
51	-0.136131	3.753621	8.452608	0.009978	6.0
52	-0.139231	2.970943	8.728595	0.010885	5.2
53	-0.124976	3.970854	8.379075	0.011942	7.1
54	-0.133915	3.188193	8.650198	0.020348	7.2
55	-0.134206	2.410846	8.937424	0.005876	7.7
56	-0.133776	1.629647	9.245954	0.017881	5.9
57	-0.122366	1.167682	9.438635	0.012047	7.8
58	-0.157241	2.155690	9.035907	0.010661	6.6
59	-0.118872	2.407887	8.938554	0.012249	6.5
60	-0.127051	3.403422	8.573907	0.009010	7.1
61	-0.134013	2.712508	8.823726	0.012782	6.2
62	-0.138467	1.931183	9.124373	0.015821	6.1
63	-0.134496	2.931182	8.743098	0.013597	4.7
64	-0.125121	2.229014	9.007384	0.013391	4.7
65	-0.125323	3.229014	8.635624	0.011140	5.9
66	-0.138281	4.226897	8.294031	0.014164	4.8
67	-0.138999	5.192221	7.988351	0.011751	4.1
68	-0.112463	4.409547	8.234412	0.009834	4.7
