1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.149399	0.000000	8.722736	0.009031	893.8
1	-0.150274	0.000000	8.722736	0.011615	7.7
2	-0.171040	0.477901	8.528648	0.014358	6.8
3	-0.158361	1.460156	8.155663	0.015881	6.3
4	-0.156252	0.605601	8.478239	0.012491	7.9
5	-0.163158	0.974576	8.335881	0.013629	6.5
6	-0.168735	0.119248	8.673484	0.009289	11.2
7	-0.128987	0.000000	8.722736	0.012264	5.8
8	-0.158331	0.000000	8.722736	0.019036	8.0
9	-0.161046	0.000000	8.722736	0.015555	7.5
10	-0.153993	0.000000	8.722736	0.020493	9.2
11	-0.159273	1.000000	8.326248	0.014097	6.0
12	-0.167522	0.149330	8.661147	0.006695	8.7
13	-0.169110	0.000000	8.722736	0.011231	6.3
14	-0.168804	0.000000	8.722736	0.019871	8.4
15	-0.152982	0.000000	8.722736	0.016696	6.4
16	-0.168249	0.000000	8.722736	0.016875	8.2
17	-0.188980	1.000000	8.326248	0.008054	7.5
18	-0.169293	0.144672	8.663055	0.015437	7.0
19	-0.149349	1.144646	8.271862	0.006752	7.9
20	-0.149473	0.343292	8.582437	0.008648	6.5
21	-0.168394	0.431751	8.547013	0.013502	8.8
22	-0.183637	1.324137	8.205354	0.019270	7.8
23	-0.161679	2.324137	7.853557	0.015180	8.2
24	-0.178925	1.469614	8.152229	0.016038	7.0
25	-0.141230	2.468412	7.805277	0.013239	7.4
26	-0.158672	1.613084	8.100507	0.015246	7.4
27	-0.155388	0.757756	8.418950	0.011096	8.0
28	-0.178977	0.000000	8.722736	0.016978	5.7
29	-0.144405	0.000000	8.722736	0.007797	8.8
30	-0.170330	0.000000	8.722736	0.008576	6.1
31	-0.148255	0.822034	8.394151	0.010238	8.9
32	-0.170359	0.568011	8.493015	0.014288	5.5
33	-0.159245	1.557190	8.120579	0.009829	8.9
34	-0.177058	0.703512	8.439991	0.015489	6.2
35	-0.155869	1.703400	8.068283	0.014776	7.2
36	-0.182464	2.703398	7.727898	0.019070	6.9
37	-0.164085	2.095085	7.931447	0.013925	10.1
38	-0.159970	1.275542	8.223255	0.013408	6.3
