1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.107085	0.000000	5.048996	0.014438	1805.8
1	-0.115611	0.000000	5.048996	0.022876	8.7
2	-0.104173	0.000000	5.048996	0.024786	12.7
3	-0.113798	0.000000	5.048996	0.017511	6.6
4	-0.120205	0.000000	5.048996	0.017461	10.1
5	-0.117578	0.999985	4.819500	0.015425	4.3
6	-0.094921	0.109212	5.022874	0.011434	5.8
7	-0.104739	0.000000	5.048996	0.010406	9.9
8	-0.108726	0.458988	4.941003	0.009748	5.9
9	-0.103524	0.755819	4.873589	0.019091	6.7
10	-0.117438	1.755795	4.659425	0.016614	5.8
11	-0.124978	0.847895	4.853050	0.012908	9.7
12	-0.115986	1.436391	4.725756	0.018993	10.3
13	-0.107150	0.528493	4.925051	0.017550	8.0
14	-0.104299	1.478885	4.716823	0.012463	7.1
15	-0.111308	1.354699	4.743026	0.009996	9.6
16	-0.123500	1.371353	4.739495	0.012208	11.3
17	-0.133325	0.519332	4.927147	0.014498	5.7
18	-0.113383	0.000000	5.048996	0.010305	11.2
19	-0.122900	0.908164	4.839699	0.013496	7.9
20	-0.134467	0.125869	5.018914	0.025841	13.6
21	-0.116660	0.000000	5.048996	0.017531	12.7
22	-0.118210	0.998817	4.819755	0.008627	13.5
23	-0.096827	1.954152	4.619161	0.016470	7.4
24	-0.101514	2.478849	4.515934	0.010358	13.8
25	-0.103469	1.711418	4.668529	0.012466	13.1
26	-0.109212	0.840629	4.854664	0.011338	7.7
27	-0.113808	0.000000	5.048996	0.021931	13.1
28	-0.115431	0.000000	5.048996	0.010850	10.2
29	-0.111388	0.880967	4.845715	0.008583	8.9
30	-0.128967	1.878683	4.634398	0.014643	22.3
31	-0.122995	0.971365	4.825777	0.012898	7.4
32	-0.123850	1.826219	4.645050	0.020444	14.9
33	-0.134815	2.826064	4.450123	0.022209	10.6
34	-0.116574	1.918164	4.626414	0.012994	8.7
35	-0.124262	2.817826	4.451662	0.013859	16.7
36	-0.127262	3.525491	4.323213	0.013850	10.3
37	-0.141733	2.617592	4.489404	0.014919	12.5
38	-0.107227	1.754485	4.659693	0.016969	10.9
39	-0.118926	0.846586	4.853340	0.012907	8.7
40	-0.116571	0.000000	5.048996	0.014671	9.6
41	-0.121570	0.808565	4.861802	0.023611	12.9
42	-0.114749	0.000000	5.048996	0.016605	7.8
43	-0.125824	0.000000	5.048996	0.007461	15.4
44	-0.119864	0.000000	5.048996	0.017953	10.1
45	-0.095440	0.000000	5.048996	0.016537	8.7
46	-0.119610	0.000000	5.048996	0.022951	15.7
47	-0.115580	0.000000	5.048996	0.015366	7.8
48	-0.138850	0.000000	5.048996	0.025214	8.7
49	-0.132497	0.000000	5.048996	0.025199	13.5
50	-0.142087	1.000000	4.819496	0.010024	10.1
51	-0.114777	0.093564	5.026601	0.014237	7.9
52	-0.131389	1.093265	4.799151	0.019652	12.8
53	-0.111721	2.093265	4.591335	0.013239	11.3
54	-0.132226	2.999224	4.418014	0.015923	8.2
55	-0.118565	2.091327	4.591721	0.020867	12.4
56	-0.136476	3.091327	4.401124	0.018126	11.3
57	-0.107517	2.183427	4.573479	0.018396	7.3
58	-0.114737	3.076860	4.403769	0.017786	13.2
59	-0.116476	4.076804	4.228167	0.012657	11.2
60	-0.110665	5.070518	4.067005	0.009181	7.1
61	-0.108282	4.162786	4.213719	0.008052	14.2
62	-0.103675	5.156594	4.053621	0.006813	10.6
63	-0.134508	5.496502	4.001619	0.011976	7.7
64	-0.124975	4.648676	4.133894	0.014277	10.3
65	-0.124342	3.741980	4.285385	0.012890	5.5
66	-0.090064	2.835234	4.448411	0.012158	11.7
67	-0.130273	3.384027	4.348294	0.010794	11.0
68	-0.133949	2.495583	4.512717	0.012714	7.9
69	-0.118303	3.406975	4.344206	0.016405	10.1
70	-0.123681	2.519188	4.508188	0.007403	5.9
71	-0.111558	1.954527	4.619085	0.014139	12.8
72	-0.134689	1.097272	4.798281	0.016939	8.7
73	-0.131341	0.189373	5.003872	0.014841	6.7
74	-0.107606	0.000000	5.048996	0.016679	14.6
75	-0.099882	0.000000	5.048996	0.014564	11.4
76	-0.135929	0.984636	4.822864	0.009576	5.4
77	-0.102072	1.976557	4.614657	0.010609	5.2
78	-0.121735	1.077170	4.802650	0.011093	7.3
79	-0.143979	0.350760	4.966049	0.017978	7.6
80	-0.101466	0.000000	5.048996	0.013761	6.6
81	-0.107250	0.000000	5.048996	0.018219	6.8
82	-0.134208	0.000000	5.048996	0.006872	7.0
83	-0.133351	0.000000	5.048996	0.021217	6.0
84	-0.118741	0.990498	4.821579	0.008502	4.3
85	-0.116420	1.990476	4.611863	0.011798	6.6
86	-0.121469	1.124928	4.792283	0.013574	5.2
87	-0.131497	0.217092	4.997335	0.013680	8.5
88	-0.105615	0.000000	5.048996	0.016335	6.8
89	-0.124225	0.000000	5.048996	0.009559	5.6
90	-0.127798	0.000000	5.048996	0.018847	7.2
91	-0.111345	0.999753	4.819551	0.010922	5.8
92	-0.109972	1.994695	4.611017	0.007662	7.1
93	-0.129185	1.095222	4.798726	0.015824	8.6
94	-0.114410	0.868670	4.848439	0.012587	11.0
95	-0.114801	1.818266	4.646669	0.015007	15.7
96	-0.118959	2.815249	4.452144	0.014807	8.7
97	-0.131213	3.815248	4.272733	0.014011	8.3
98	-0.125222	3.241845	4.373797	0.016761	5.1
99	-0.121795	4.241838	4.200523	0.019667	13.3
100	-0.128974	5.241838	4.040453	0.012205	11.0
101	-0.152818	6.240365	3.892346	0.014732	6.4
102	-0.120198	7.238117	3.754815	0.013051	8.9
103	-0.129253	6.897311	3.800686	0.016678	7.6
104	-0.089064	6.196116	3.898679	0.015777	11.2
