1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.140233	0.000000	6.637901	0.012973	1604.5
1	-0.132688	0.000000	6.637901	0.015988	16.9
2	-0.138797	0.000000	6.637901	0.015277	10.5
3	-0.139136	0.999999	6.336178	0.015128	22.1
4	-0.132194	0.430037	6.504698	0.010350	11.8
5	-0.149701	0.000000	6.637901	0.018160	16.7
6	-0.130462	0.755874	6.407277	0.018054	18.1
7	-0.146698	0.076646	6.613762	0.030438	32.4
8	-0.145041	1.076561	6.314205	0.013479	25.9
9	-0.136785	2.076561	6.040585	0.019325	7.8
10	-0.118374	3.076475	5.789715	0.012627	23.0
11	-0.147264	2.294958	5.983953	0.019577	17.2
12	-0.155286	1.510637	6.192447	0.014035	16.6
13	-0.155168	0.728223	6.415431	0.007422	12.9
14	-0.150890	0.000000	6.637901	0.011192	14.8
15	-0.155444	0.000000	6.637901	0.019855	16.9
16	-0.170898	0.000000	6.637901	0.017505	69.0
17	-0.161722	0.000000	6.637901	0.013207	13.5
18	-0.142217	0.999942	6.336195	0.011337	24.8
19	-0.152009	0.873933	6.372696	0.022717	22.6
20	-0.156519	0.089966	6.609585	0.019810	16.3
21	-0.144121	1.079987	6.313225	0.011877	19.3
22	-0.135572	0.295707	6.545729	0.012738	19.5
23	-0.149387	0.000000	6.637901	0.016125	26.1
24	-0.131783	0.000000	6.637901	0.009126	15.2
25	-0.142636	0.000000	6.637901	0.021936	11.3
26	-0.126122	0.000000	6.637901	0.020339	10.7
27	-0.149776	0.000000	6.637901	0.011037	21.6
28	-0.149234	0.000000	6.637901	0.015614	11.0
29	-0.158250	0.000000	6.637901	0.015249	15.2
30	-0.138547	0.439781	6.501742	0.015299	14.0
31	-0.164135	0.000000	6.637901	0.010813	14.2
32	-0.148482	0.000000	6.637901	0.019842	13.4
33	-0.129271	0.987840	6.339682	0.021497	6.4
34	-0.164668	0.203534	6.574183	0.018169	13.2
35	-0.151385	0.854701	6.378304	0.018961	9.8
36	-0.158751	0.082973	6.611777	0.020246	9.8
37	-0.135407	0.000000	6.637901	0.015727	14.8
38	-0.147165	0.000000	6.637901	0.017189	12.5
39	-0.153044	0.000000	6.637901	0.004121	7.4
40	-0.172927	0.840534	6.382441	0.017521	14.1
41	-0.176556	0.267877	6.554294	0.020009	9.7
42	-0.144971	1.266831	6.260250	0.008284	8.1
43	-0.162143	2.239736	5.998171	0.013852	10.2
44	-0.147804	3.228743	5.753329	0.005929	14.0
45	-0.128709	3.290285	5.738752	0.009530	7.1
46	-0.161273	4.156312	5.541191	0.016453	24.8
47	-0.143821	3.372822	5.719318	0.009979	5.3
48	-0.137886	4.241206	5.522554	0.010541	16.3
49	-0.148531	3.469292	5.696770	0.010418	14.6
50	-0.171790	2.702781	5.880994	0.012917	13.1
51	-0.136920	3.699695	5.643629	0.012274	14.1
52	-0.128805	3.040157	5.798461	0.013572	5.7
53	-0.157836	3.401230	5.712660	0.017157	16.5
54	-0.148838	4.401229	5.487763	0.013140	14.6
55	-0.138378	3.629303	5.659759	0.025425	15.5
56	-0.144500	4.629303	5.438928	0.017598	14.1
57	-0.125729	5.629303	5.234682	0.013101	9.1
58	-0.142358	6.625813	5.045858	0.010284	21.5
59	-0.147510	6.838989	5.007219	0.010495	7.4
60	-0.137483	6.351469	5.096469	0.012399	17.5
61	-0.148596	7.291343	4.927158	0.016814	13.7
62	-0.139718	7.961980	4.813066	0.007779	16.7
63	-0.157349	8.150883	4.781877	0.014150	13.2
64	-0.148762	7.385767	4.910768	0.017201	15.7
65	-0.148372	8.363902	4.747187	0.024332	12.8
66	-0.131502	7.579581	4.877466	0.015299	23.8
67	-0.149964	8.579581	4.712573	0.017590	17.8
68	-0.152098	9.579579	4.558464	0.023508	16.0
69	-0.140891	10.579579	4.414116	0.017716	11.0
70	-0.163548	9.795258	4.526538	0.006677	13.0
71	-0.152569	10.786763	4.385345	0.021294	16.0
72	-0.151955	11.784571	4.251876	0.012560	9.1
73	-0.167975	11.000262	4.356087	0.011460	15.0
74	-0.147581	10.216745	4.465421	0.017159	11.2
75	-0.160033	9.432967	4.580425	0.010962	17.3
76	-0.160774	8.887699	4.663990	0.012992	16.6
77	-0.133190	8.106380	4.789188	0.007732	15.6
78	-0.168876	7.329250	4.920565	0.014088	11.7
79	-0.148144	8.279734	4.760833	0.010438	15.8
80	-0.166556	7.495521	4.891854	0.014975	11.0
81	-0.154120	6.723328	5.028109	0.014090	16.0
82	-0.165703	5.939300	5.174445	0.019466	12.5
83	-0.127444	6.085795	5.146458	0.013105	12.1
84	-0.153479	6.492159	5.070388	0.011208	15.6
85	-0.149726	6.855973	5.004166	0.022668	14.8
86	-0.161134	6.074727	5.148562	0.013592	9.4
87	-0.166566	5.412668	5.277616	0.011931	13.7
88	-0.147545	4.647325	5.435106	0.023843	11.7
89	-0.175304	3.863029	5.606554	0.012132	19.9
90	-0.169162	4.863029	5.389776	0.017400	10.2
91	-0.148977	4.081452	5.557729	0.017602	12.9
92	-0.150138	3.297131	5.737135	0.018988	14.5
93	-0.126872	4.296170	5.510554	0.017827	6.6
94	-0.155157	5.296170	5.300997	0.017228	15.8
95	-0.158131	6.293458	5.107302	0.008766	11.7
96	-0.167071	6.806916	5.012995	0.010429	8.0
97	-0.150389	6.178962	5.128817	0.009134	12.5
98	-0.170855	5.641182	5.232347	0.008810	11.9
99	-0.173011	5.656922	5.229258	0.017471	8.7
100	-0.175407	4.897100	5.382685	0.024046	11.9
101	-0.152654	4.112779	5.550796	0.008892	10.4
102	-0.136212	3.328594	5.729715	0.020822	14.9
103	-0.161577	3.212266	5.757244	0.014172	13.2
104	-0.165403	2.427960	5.949981	0.007234	12.0
105	-0.168221	1.656648	6.152540	0.009417	13.9
106	-0.167190	2.025909	6.053873	0.020678	17.9
107	-0.148312	2.108309	6.032286	0.016225	14.3
108	-0.158398	1.855747	6.098944	0.016137	13.8
109	-0.149382	2.812200	5.853971	0.008202	13.1
110	-0.131179	2.393566	5.958729	0.011146	8.9
111	-0.151882	2.868783	5.840093	0.017743	22.6
112	-0.145935	2.085454	6.038258	0.018627	9.8
113	-0.173371	1.301339	6.250563	0.012676	14.1
114	-0.162069	1.653006	6.153529	0.015123	18.1
115	-0.146121	0.873084	6.372943	0.027776	12.9
116	-0.159897	1.872221	6.094551	0.013325	16.5
117	-0.169216	2.872134	5.839274	0.015086	14.0
118	-0.165604	3.860500	5.607125	0.024514	14.0
119	-0.177696	3.076210	5.789778	0.016219	14.5
120	-0.169716	4.076150	5.558904	0.016684	13.3
121	-0.147603	5.076129	5.345729	0.015306	8.1
122	-0.165252	5.243881	5.311559	0.019432	13.9
123	-0.144042	4.464750	5.474074	0.017587	13.0
124	-0.142951	5.464750	5.267230	0.011536	8.2
125	-0.162691	6.464347	5.075523	0.013674	17.7
126	-0.159535	5.882762	5.185327	0.009204	8.3
127	-0.162936	5.103496	5.340125	0.014240	13.6
128	-0.146903	5.594066	5.241618	0.006005	10.3
129	-0.141616	4.874626	5.387360	0.017154	6.9
130	-0.161671	5.219571	5.316484	0.015510	12.6
131	-0.150276	4.451614	5.476899	0.015356	17.1
132	-0.152207	5.071023	5.346776	0.010551	16.2
133	-0.174206	5.849173	5.191814	0.010781	12.7
134	-0.151103	5.067985	5.347399	0.015273	15.1
135	-0.167139	4.350595	5.498724	0.016066	15.7
136	-0.172077	5.350595	5.290048	0.011849	8.0
137	-0.171569	6.349958	5.096751	0.012661	16.8
138	-0.158969	6.513917	5.066379	0.016178	14.5
139	-0.161115	5.729803	5.215000	0.025456	16.9
140	-0.162829	4.945482	5.372647	0.011969	20.7
141	-0.163558	4.161162	5.540123	0.009381	13.7
142	-0.145106	4.543940	5.457103	0.011734	12.5
143	-0.175555	3.782735	5.624719	0.013997	18.3
144	-0.149641	2.999699	5.808236	0.010573	11.3
145	-0.162413	2.216054	6.004290	0.009687	12.2
146	-0.170498	3.193369	5.761741	0.021064	10.4
147	-0.166908	2.981101	5.812741	0.016685	9.9
148	-0.145500	2.760615	5.866680	0.018304	15.6
149	-0.172164	1.976307	6.066942	0.023227	14.3
150	-0.178427	2.976214	5.813925	0.016079	9.0
151	-0.164234	2.191893	6.010545	0.010453	12.9
152	-0.170005	1.407877	6.220845	0.014564	11.1
153	-0.150736	2.382950	5.961434	0.015440	8.5
154	-0.149931	3.314481	5.733041	0.015175	15.1
155	-0.166338	2.546032	5.920145	0.016975	8.9
156	-0.141890	2.931613	5.824761	0.011449	13.7
157	-0.163431	2.293109	5.984428	0.012813	15.4
158	-0.142493	1.509439	6.192776	0.013812	15.0
159	-0.155178	2.507369	5.929882	0.014243	13.0
160	-0.137709	2.135090	6.025303	0.014058	7.1
161	-0.147664	1.350802	6.236730	0.033021	14.6
162	-0.157837	0.803850	6.393179	0.011896	12.4
163	-0.142084	0.019529	6.631734	0.014248	13.4
164	-0.158703	0.000000	6.637901	0.011885	16.1
165	-0.172238	0.999909	6.336204	0.018638	6.6
166	-0.192839	0.906132	6.363329	0.008047	15.3
167	-0.164017	0.126203	6.598248	0.021287	13.0
168	-0.187757	0.000000	6.637901	0.014789	16.0
169	-0.143480	0.000000	6.637901	0.016452	13.8
170	-0.186337	0.963146	6.346810	0.009189	7.1
171	-0.143251	0.280199	6.550499	0.006604	14.9
172	-0.168783	0.000000	6.637901	0.018948	13.8
173	-0.143398	0.000000	6.637901	0.008754	16.2
174	-0.139100	0.000000	6.637901	0.023424	12.8
175	-0.173500	0.000000	6.637901	0.017415	9.1
176	-0.154343	0.000000	6.637901	0.014885	16.1
177	-0.156293	0.000000	6.637901	0.007635	11.9
178	-0.161357	0.000000	6.637901	0.017429	19.2
179	-0.143135	0.933125	6.355497	0.017469	8.5
180	-0.160029	1.626690	6.160685	0.017771	14.1
181	-0.169294	0.842370	6.381905	0.012023	12.7
182	-0.163077	0.913224	6.361269	0.018018	7.0
183	-0.171855	1.911229	6.084175	0.011990	15.8
184	-0.154650	2.580022	5.911611	0.010174	14.0
185	-0.170188	2.026499	6.053718	0.014575	8.3
186	-0.152268	2.952714	5.819630	0.013177	15.4
187	-0.148250	2.169149	6.016446	0.014089	8.0
188	-0.180220	1.407889	6.220841	0.019991	17.9
189	-0.181497	0.849572	6.379801	0.010062	15.0
190	-0.191229	1.312919	6.247319	0.014412	17.0
191	-0.143014	1.857848	6.098383	0.011339	11.9
192	-0.154739	1.074089	6.314912	0.012372	16.9
193	-0.162613	0.414302	6.509478	0.014644	15.7
194	-0.154321	0.000000	6.637901	0.010773	15.2
195	-0.168962	0.764440	6.404756	0.018449	15.5
196	-0.157186	1.487622	6.198784	0.016450	6.8
197	-0.180822	2.475988	5.937808	0.019032	16.1
198	-0.152046	1.691668	6.143044	0.012646	11.3
199	-0.173622	2.691616	5.883766	0.012650	17.3
200	-0.163219	3.682849	5.647481	0.014937	14.0
201	-0.156486	4.682798	5.427599	0.005711	17.1
202	-0.175327	4.410348	5.485794	0.021411	14.2
203	-0.164975	5.407164	5.278716	0.022189	11.5
204	-0.181500	6.405624	5.086398	0.020779	12.4
