1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.146274	0.000000	6.322045	0.025929	1389.2
1	-0.132432	0.000000	6.322045	0.018335	6.0
2	-0.172928	0.000000	6.322045	0.016880	4.2
3	-0.130898	0.000000	6.322045	0.021950	8.0
4	-0.138486	0.000000	6.322045	0.011466	6.1
5	-0.147580	0.915259	6.058015	0.020264	8.0
6	-0.154128	0.039136	6.310285	0.018376	7.1
7	-0.160338	0.000000	6.322045	0.012206	15.1
8	-0.152277	0.862501	6.072633	0.007739	7.1
9	-0.181166	0.835356	6.080183	0.024337	20.7
10	-0.141389	0.000000	6.322045	0.018639	19.3
11	-0.160047	1.000000	6.034680	0.011230	17.4
12	-0.162649	0.302264	6.232340	0.005532	11.4
13	-0.150397	0.000000	6.322045	0.015434	20.9
14	-0.141845	0.000000	6.322045	0.017152	15.1
15	-0.160947	0.659179	6.129639	0.016418	3.9
16	-0.116668	1.658443	5.859315	0.014048	7.3
17	-0.149194	0.782300	6.094993	0.016656	5.3
18	-0.152136	0.000000	6.322045	0.020797	5.0
19	-0.143237	0.000000	6.322045	0.010469	6.9
20	-0.152594	0.812589	6.086529	0.013605	5.2
21	-0.152291	1.735424	5.839476	0.012159	4.6
22	-0.125064	1.034918	6.025117	0.018761	5.6
23	-0.185075	0.159552	6.274374	0.023641	4.6
24	-0.163041	0.000000	6.322045	0.011782	4.2
25	-0.141071	1.000000	6.034680	0.012589	7.1
26	-0.151947	1.221087	5.974638	0.015234	3.4
27	-0.127712	1.978969	5.777585	0.012210	4.5
28	-0.141425	1.413457	5.923359	0.027237	7.2
29	-0.161951	0.537302	6.164326	0.020993	4.4
30	-0.136624	1.537302	5.890810	0.008086	3.7
31	-0.165773	0.671108	6.126265	0.016596	7.1
32	-0.139943	0.752071	6.103463	0.021928	5.1
33	-0.189048	1.752068	5.835204	0.017442	5.9
34	-0.150847	2.752021	5.589543	0.018730	6.0
35	-0.164354	2.826751	5.572012	0.015499	4.2
36	-0.149970	3.805211	5.352220	0.012279	8.5
37	-0.139075	4.117627	5.285649	0.014215	4.8
38	-0.150503	3.464512	5.426757	0.016664	5.2
39	-0.133940	4.464068	5.213737	0.011650	7.1
40	-0.122596	3.588679	5.399353	0.019579	5.1
41	-0.168152	4.588115	5.188462	0.012280	5.3
42	-0.143783	5.551969	5.000117	0.026916	5.5
43	-0.185694	4.675945	5.170713	0.040727	5.1
44	-0.164399	5.675945	4.976879	0.033201	4.0
45	-0.161190	6.675945	4.797052	0.014687	5.9
46	-0.114948	5.799787	4.953881	0.024419	4.9
47	-0.120432	6.799785	4.775683	0.023604	7.0
48	-0.175740	5.923633	4.931094	0.015624	5.0
49	-0.186502	6.923632	4.754502	0.013189	4.3
50	-0.161976	7.922352	4.590324	0.012197	5.9
51	-0.139614	7.057775	4.731771	0.012906	5.3
52	-0.159602	6.566722	4.816059	0.007052	4.5
53	-0.161308	7.143870	4.717296	0.013779	6.3
54	-0.132971	7.395406	4.675508	0.020455	3.1
55	-0.134529	8.380452	4.518751	0.012706	4.0
56	-0.136941	9.260953	4.387269	0.010210	6.4
57	-0.154716	10.236473	4.250254	0.013571	4.3
58	-0.152495	11.157600	4.128509	0.012386	4.7
59	-0.193681	10.282129	4.244051	0.019833	6.5
60	-0.141946	9.709925	4.323129	0.014941	4.4
61	-0.144638	10.709501	4.186851	0.013482	4.7
62	-0.153128	11.662973	4.064632	0.013249	5.8
63	-0.179580	12.040667	4.018168	0.012906	4.4
64	-0.180533	11.165790	4.127458	0.008984	3.9
65	-0.154370	11.360567	4.102615	0.026404	7.6
66	-0.150027	10.484436	4.216781	0.020382	5.4
67	-0.143041	11.484436	4.086971	0.022153	4.4
68	-0.138854	12.419893	3.972573	0.011931	5.8
69	-0.121159	13.413827	3.857838	0.018364	4.6
70	-0.183556	12.572585	3.954505	0.004561	3.0
71	-0.179709	13.511805	3.846885	0.013863	6.6
72	-0.139928	12.727712	3.936317	0.016644	4.4
73	-0.149279	11.863389	4.039844	0.005806	3.7
74	-0.142615	12.134838	4.006748	0.018055	7.1
75	-0.153626	12.883601	3.918207	0.008742	3.5
76	-0.113128	13.823977	3.812401	0.009715	5.2
77	-0.144645	14.542088	3.735373	0.014843	4.7
78	-0.146446	13.813661	3.813530	0.015821	3.6
79	-0.154704	12.937507	3.911983	0.021914	9.8
80	-0.131457	12.077451	4.013700	0.028179	8.2
81	-0.138782	11.201301	4.122907	0.021178	10.7
82	-0.159145	12.154588	4.004362	0.017327	12.1
83	-0.128612	13.153776	3.887212	0.018325	13.9
84	-0.157118	14.153035	3.776714	0.008922	5.7
85	-0.109537	13.309784	3.869536	0.026073	35.8
86	-0.153434	13.182413	3.883955	0.011583	25.5
87	-0.148511	14.182238	3.773579	0.026873	4.1
88	-0.153741	15.149575	3.672601	0.017624	4.7
89	-0.167581	16.149575	3.573741	0.026793	5.0
90	-0.153732	17.149575	3.480064	0.037795	4.7
91	-0.147667	17.366924	3.460349	0.007346	4.0
92	-0.116489	16.740993	3.517739	0.022207	5.0
93	-0.150662	16.254057	3.563718	0.018677	6.8
94	-0.137550	15.378653	3.649474	0.013582	6.8
95	-0.158609	16.366031	3.553039	0.023750	6.5
96	-0.181362	15.494081	3.637931	0.005426	5.9
97	-0.149863	16.172717	3.571516	0.011688	7.8
98	-0.133932	16.234399	3.565600	0.014376	4.6
99	-0.148647	16.309606	3.558412	0.012084	5.4
100	-0.157375	15.460498	3.641282	0.014191	5.6
101	-0.129327	16.455460	3.544555	0.016514	4.6
